Snap #	Nsnaps (direction corrected)	Time	Snap direction	Snap bond c.x	Snap bond c.y
278	278	614.958	-1	25.87175	1562.24
279	279	615.279	-1	1237.145	1143.7
280	280	617.835	-1	165.503	1482.22
281	281	617.856	-1	194.71	581.9955
282	282	622.668	-1	1152.425	742.7385
283	283	624.042	-1	535.7965	815.875
284	284	628.008	-1	1601.27	547.562
285	285	630.222	-1	1145.885	1251.82
286	286	632.697	-1	609.29	1562.24
287	287	639.54	-1	1018.955	417.451
288	288	639.9	-1	330.5865	164.62
289	289	642.009	-1	1098.905	1103.92
290	290	643.86	-1	774.3105	1570.325
291	291	646.323	-1	461.943	1018.255
292	292	652.395	-1	488.55	1036.87
293	293	656.235	-1	838.155	1517.195
294	294	659.289	-1	768.2815	1680.12
295	295	659.7	-1	779.469	1676.665
296	296	661.53	-1	347.801	75.4638
297	297	665.217	-1	351.3805	73.9503
298	298	666.12	-1	804.027	1715.245
299	299	666.843	-1	364.3005	98.97225
300	300	667.521	-1	577.5815	994.078
301	301	668.424	-1	560.7065	1003.45
302	302	671.784	-1	561.6495	994.2585
303	303	676.269	-1	336.643	11.75925
304	304	677.73	-1	1562.31	921.2105
305	303	686.391	1	832.67	1806.9
306	304	693.315	-1	739.1105	1473.845
307	305	693.513	-1	1385.425	1828.48
308	306	694.563	-1	1354.33	770.1325
309	307	695.145	-1	862.488	1815.855
310	308	697.302	-1	873.657	1820.07
311	309	700.581	-1	119.876	1588.95
312	310	706.812	-1	74.1898	1586.745
313	311	711.057	-1	91.32465	1599.95
314	312	712.416	-1	154.9065	1637.455
315	313	714.42	-1	144.71	1643.99
316	314	715.317	-1	1550.585	924.3975
317	315	717.501	-1	464.3515	1209.23
318	316	723.054	-1	21.93205	1666.59
319	317	736.53	-1	170.1565	276.727
320	318	740.958	-1	324.095	941.8035
321	319	741.543	-1	958.259	453.0095
322	320	744.975	-1	944.569	499.313
323	321	747.516	-1	453.8215	223.5535
324	322	751.017	-1	158.5565	797.4025
325	323	756.759	-1	1513.265	1008.29
326	324	770.079	-1	1258.69	759.443
327	325	772.824	-1	1249.19	753.7455
328	326	780.084	-1	1198.16	745.0895
329	327	780.732	-1	973.3015	932.661
330	328	782.925	-1	623.59	573.799
331	329	788.31	-1	500.537	532.273
332	330	790.305	-1	1173.74	860.754
333	331	791.628	-1	1621.21	1727.245
334	332	802.473	-1	86.38055	663.5685
335	333	806.931	-1	311.296	937.98
336	334	807.141	-1	68.59675	658.5455
337	335	814.656	-1	555.966	809.529
338	336	829.698	-1	1239.66	839.379
339	337	829.959	-1	1464.475	517.8165
340	338	830.022	-1	750.0755	1141.685
341	339	832.098	-1	1470.17	509.9335
342	340	832.638	-1	739.663	1135.775
343	341	835.476	-1	1248.775	840.3345
344	342	839.274	-1	729.045	1114.125
